,cost,level_1_1,level_1_2,level_1_3,level_2_1,level_2_2,region,is_44,title_vector_0,title_vector_1,title_vector_2,title_vector_3,title_vector_4,title_vector_5,title_vector_6,title_vector_7,title_vector_8,title_vector_9,title_vector_10,title_vector_11,title_vector_12,title_vector_13,title_vector_14,title_vector_15,title_vector_16,title_vector_17,title_vector_18,title_vector_19,supplier_id
41,31797.36,0,0,1,0,1,7,1,-0.0027374206,0.08579104,0.23557176,0.11978392,-0.0992607,-0.00070723123,-0.020802286,0.29768455,-0.23535106,-0.023743942,0.4882007,-0.11946075,0.017498724,0.110369705,0.16361958,0.12925172,0.56655836,-0.18254308,-0.29039207,-0.34111437,207
42,1385700.0,1,0,0,0,0,66,1,-0.01780205,0.07489738,0.03007046,0.115962975,0.0657162,-0.05662242,-0.04003986,0.35538998,-0.058889862,0.011437054,0.25431406,-0.013371953,0.23363172,-0.041836664,0.19909327,0.12772548,0.23439103,0.054762036,-0.16296826,-0.15528212,80
43,1062246.8,1,0,0,0,0,23,1,-0.01567893,0.03690931,-0.004551619,0.028640073,0.1264738,-0.09428373,0.07561118,0.26799202,-0.054024994,-0.033043806,0.17258449,-0.110083036,0.24679218,-0.06870437,0.26418784,0.15974438,0.28447956,0.04493071,-0.2645023,-0.028924285,61
44,1080000.0,1,0,0,0,0,45,1,-0.101279266,-0.22409876,0.16548282,-0.057356864,0.03265819,0.007029646,-0.05633266,0.11218508,-0.17251953,0.28561178,0.16277112,-0.007436708,0.13338087,0.14879973,0.06867207,0.23736697,0.3282597,-0.016692,0.14014696,-0.2030902,143
46,154925.2,0,0,1,0,1,37,0,-0.022950057,0.109761514,0.2345542,0.18868491,-0.07038306,-0.13330922,0.09426326,0.104333654,-0.35927296,-0.009864523,0.22736335,-0.099659756,0.09499105,-0.16101992,0.14460936,0.015491108,0.23139937,0.022600733,-0.13552538,-0.0654384,166
47,93532.0,0,0,1,0,1,9,1,-0.06417631,-0.09561527,0.17699723,0.03380041,0.13522881,-0.05752282,0.23592968,0.30024183,-0.20785208,-0.0910611,0.28060043,0.016370323,0.07886463,0.09898738,0.45679638,-0.050586328,0.3264686,0.0048439777,-0.048042987,-0.22249754,195
62,1799000.0,1,0,0,0,0,23,1,-0.18376288,0.028983733,0.118226744,-0.03704662,-0.09375026,-0.14768136,-0.042390965,0.25854072,-0.20506905,-0.12311069,0.38036782,-0.0836753,0.0851594,0.15596409,0.09486019,-0.05424989,0.4135074,-0.12858456,0.0067208763,-0.13879882,1
67,32160.0,0,0,1,0,1,38,1,0.44844946,0.09441392,-0.18687156,-0.02421858,-0.050443374,0.00017173856,0.29949513,0.5960581,0.048636913,0.22644532,-0.0106593575,0.18626685,-0.17670548,0.5182263,-0.19230744,-0.050220456,0.07077399,0.2832438,-0.16296342,0.099467844,132
68,69363.37,0,0,1,0,1,80,1,-0.3690169,-0.24471982,0.3199728,0.14677663,-0.5162386,-0.19071928,0.29210997,-0.14229614,0.25914025,0.09064626,0.49019852,-0.08385332,0.4537639,-0.15092088,-0.17414546,-0.031511616,-0.3253912,-0.23647356,0.675657,-0.20297495,22
69,1023435.0,1,0,0,0,0,62,1,-0.18613125,0.057504002,0.06261835,0.0092315,-0.061982147,-0.09280352,-0.16301024,0.383269,-0.20128185,-0.14876078,0.5088281,-0.113008164,0.14955339,0.1746586,0.087742865,-0.17434742,0.4233119,-0.074606724,0.012837302,-0.124373876,126
70,922140.0,1,0,0,0,0,61,1,0.026109947,0.00017087106,0.046749555,0.04228265,0.05116002,-0.08626761,0.0029484192,0.25399935,-0.021986408,-0.04497228,0.19479497,-0.10921931,0.25768,-0.10694566,0.23408908,0.12298434,0.25817809,-0.01432269,-0.25203577,-0.056503244,136
73,28500.0,0,0,1,1,0,78,1,0.2672437,-0.1409345,0.30707046,0.015099977,-0.5030096,0.049437128,-0.128485,-0.0256515,-0.38547137,0.3015212,0.15675099,0.38872206,0.07443126,0.34551522,0.2522023,0.23867545,0.58390945,-0.33768094,0.102729075,-0.47776195,141
74,1939584.0,1,0,0,0,0,80,1,0.05307093,-0.11200145,0.017704124,0.0361083,0.019822596,-0.04298394,0.009441711,0.28294477,-0.089877635,0.14292851,0.21976845,-0.11524953,0.31288394,-0.09866705,0.2651895,0.23459308,0.3486827,0.11760606,-0.085157566,-0.09971309,10
83,2100450.0,1,0,0,0,0,33,1,-0.2352351,0.015961409,-0.1980423,0.083225586,0.20773372,-0.08181669,0.06944916,0.39963946,0.2386632,0.037404474,0.086598314,-0.16884097,0.290279,-0.1454636,0.21716662,0.15045457,0.17476557,-0.24739288,-0.27336043,0.0792732,91
85,23400.0,0,0,1,1,0,34,1,0.22470443,-0.30034816,-0.50989336,0.333207,-0.25215608,-0.5221986,-0.33379766,-0.22293872,0.18079734,-0.17470463,0.6555219,-0.14802308,0.20365158,0.4367042,0.07613523,0.28085697,0.41594106,-0.60708725,0.08825711,-0.20904121,74
